Part Family,X,Y,Z,Material,4130,F22,Threading Type,JFE Lion,TenarisHydril Blue®,VAM TOP®,Coating Type,Phosphating,Xylan Coating,Ni Plating,Cu Plating,Carbide Coating,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,948.33024,66,8,0.6214222859,1.8,1.05,1.00," $ 1,113.80 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,165.23936,46,4,0.8300750243,1.8,1.13,1.01, $ 281.78 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,2992.26928,68,14,0.6214222859,2.5,1.13,1.05," $ 5,515.63 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,3485.51775,69,15,0.6214222859,4.2,1.13,1.02," $ 10,485.33 "
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,416.69056,29,8,0.6214222859,1.8,1.05,1.02, $ 499.19 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,341.03069,31,7,0.8300750243,1.8,1.05,1.05, $ 561.77 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,758.8438,20,13,0.6214222859,1.8,1.05,1.10, $ 980.38 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,517.04653,47,7,0.8300750243,1.8,1.13,1.01, $ 881.70 
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1092.01664,19,16,0.8300750243,2.5,1.05,1.05," $ 2,498.42 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,226.30608,28,6,0.6214222859,1.8,1.13,1.00, $ 286.04 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,1363.89825,27,15,0.8300750243,1.8,1.05,1.01," $ 2,161.14 "
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,1778.1192,55,12,0.6214222859,1.8,1.05,1.00," $ 2,088.38 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,143.6864,40,4,0.6214222859,2.5,1.2,1.01, $ 270.55 
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,2758.77888,48,16,0.6214222859,4.2,1.05,1.00," $ 7,560.36 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,374.03366,34,7,0.6214222859,4.2,1.05,1.10," $ 1,127.53 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,162.99426,6,11,0.6214222859,2.5,1.2,1.10, $ 334.25 
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,1212.354,54,10,0.8300750243,2.5,1.2,1.05," $ 3,169.99 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,25.14512,28,2,0.8300750243,1.8,1.13,1.00, $ 42.45 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,64.65888,8,6,0.8300750243,1.8,1.2,1.05, $ 121.73 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,224.51,10,10,0.6214222859,4.2,1.13,1.05, $ 695.25 
