Part Family,X,Y,Z,Material,4130,F22,Threading Type,JFE Lion,TenarisHydril Blue®,VAM TOP®,Coating Type,Phosphating,Xylan Coating,Ni Plating,Cu Plating,Carbide Coating,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,2992.26928,68,14,0.6214222859,2.0,1.3,1.3," $ 5,857.31 "
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1092.01664,19,16,0.8300750243,1.1,1.9,1.5," $ 2,855.34 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,143.6864,40,4,0.6214222859,2.0,1.6,1.3, $ 281.26 
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,162.99426,6,11,0.6214222859,1.9,1.0,1.3, $ 319.06 
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,1212.354,54,10,0.8300750243,1.3,1.7,1.6," $ 3,169.99 "
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,17.9608,20,2,0.8300750243,1.3,1.4,1.6, $ 46.96 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,28.06375,5,5,0.6214222859,1.0,1.7,1.5, $ 54.93 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,1086.6284,40,11,0.8300750243,1.5,1.1,1.7," $ 2,841.25 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,404.118,18,10,0.6214222859,1.0,1.2,1.1, $ 791.05 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,72.74124,9,6,0.6214222859,1.1,1.7,1.9, $ 142.39 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,404.118,50,6,0.8300750243,1.5,1.7,1.3," $ 1,056.66 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,169.72956,21,6,0.6214222859,1.5,1.7,1.6, $ 332.24 
